;time;customer;location
0;07:00:00;Jack Stone;entrance
1;07:00:00;Jacqueline Mitchell;entrance
2;07:00:00;Daniel Johnson;entrance
3;07:00:00;John Hood;entrance
4;07:00:00;Melissa Perkins;entrance
5;07:01:00;Jack Stone;drinks
6;07:01:00;Jacqueline Mitchell;dairy
7;07:01:00;Daniel Johnson;spices
8;07:01:00;John Hood;spices
9;07:01:00;Melissa Perkins;spices
10;07:01:00;Connor Turner;entrance
11;07:01:00;Jasmine Johnson;entrance
12;07:01:00;Ryan Mills;entrance
13;07:01:00;Melanie Michael;entrance
14;07:01:00;Sandra Lowery;entrance
15;07:01:00;Oscar Watson;entrance
16;07:01:00;Holly Clark;entrance
17;07:02:00;Jack Stone;drinks
18;07:02:00;Jacqueline Mitchell;fruit
19;07:02:00;Daniel Johnson;dairy
20;07:02:00;John Hood;fruit
21;07:02:00;Melissa Perkins;drinks
22;07:02:00;Connor Turner;dairy
23;07:02:00;Jasmine Johnson;drinks
24;07:02:00;Ryan Mills;dairy
25;07:02:00;Melanie Michael;fruit
26;07:02:00;Sandra Lowery;fruit
27;07:02:00;Oscar Watson;dairy
28;07:02:00;Holly Clark;spices
29;07:02:00;Joseph Newman;entrance
30;07:02:00;Jennifer Adkins;entrance
31;07:02:00;Joshua Jackson;entrance
32;07:02:00;Brenda Walker;entrance
33;07:03:00;Jack Stone;dairy
34;07:03:00;Jacqueline Mitchell;fruit
35;07:03:00;Daniel Johnson;drinks
36;07:03:00;John Hood;dairy
37;07:03:00;Melissa Perkins;dairy
38;07:03:00;Connor Turner;drinks
39;07:03:00;Jasmine Johnson;checkout and leave
40;07:03:00;Ryan Mills;checkout and leave
41;07:03:00;Melanie Michael;fruit
42;07:03:00;Sandra Lowery;dairy
43;07:03:00;Oscar Watson;spices
44;07:03:00;Holly Clark;fruit
45;07:03:00;Joseph Newman;drinks
46;07:03:00;Jennifer Adkins;dairy
47;07:03:00;Joshua Jackson;spices
48;07:03:00;Brenda Walker;drinks
49;07:03:00;Thomas Smith;entrance
50;07:03:00;Claire Guzman;entrance
51;07:03:00;Rebecca Robinson;entrance
52;07:03:00;Christian Carter;entrance
53;07:03:00;Michael Miller;entrance
54;07:03:00;Dominique Odom;entrance
55;07:03:00;Jennifer Payne;entrance
56;07:03:00;Mark Burke;entrance
57;07:04:00;Jack Stone;dairy
58;07:04:00;Jacqueline Mitchell;drinks
59;07:04:00;Daniel Johnson;drinks
60;07:04:00;John Hood;drinks
61;07:04:00;Melissa Perkins;spices
62;07:04:00;Connor Turner;spices
63;07:04:00;Ryan Mills;checkout and leave
64;07:04:00;Melanie Michael;dairy
65;07:04:00;Sandra Lowery;fruit
66;07:04:00;Oscar Watson;checkout and leave
67;07:04:00;Holly Clark;fruit
68;07:04:00;Joseph Newman;checkout and leave
69;07:04:00;Jennifer Adkins;drinks
70;07:04:00;Joshua Jackson;fruit
71;07:04:00;Brenda Walker;drinks
72;07:04:00;Thomas Smith;spices
73;07:04:00;Claire Guzman;dairy
74;07:04:00;Rebecca Robinson;fruit
75;07:04:00;Christian Carter;dairy
76;07:04:00;Michael Miller;dairy
77;07:04:00;Dominique Odom;spices
78;07:04:00;Jennifer Payne;drinks
79;07:04:00;Mark Burke;spices
80;07:04:00;Tina Mcintosh;entrance
81;07:04:00;Michelle Petersen DDS;entrance
82;07:04:00;Dr. Richard Moses Jr.;entrance
83;07:04:00;David Alvarez;entrance
84;07:04:00;Jose Wallace;entrance
85;07:04:00;Nathaniel Smith;entrance
86;07:05:00;Jack Stone;fruit
87;07:05:00;Jacqueline Mitchell;dairy
88;07:05:00;Daniel Johnson;checkout and leave
89;07:05:00;John Hood;fruit
90;07:05:00;Melissa Perkins;drinks
91;07:05:00;Connor Turner;drinks
92;07:05:00;Melanie Michael;dairy
93;07:05:00;Sandra Lowery;fruit
94;07:05:00;Holly Clark;fruit
95;07:05:00;Jennifer Adkins;fruit
96;07:05:00;Joshua Jackson;spices
97;07:05:00;Brenda Walker;checkout and leave
98;07:05:00;Thomas Smith;fruit
99;07:05:00;Claire Guzman;checkout and leave
100;07:05:00;Rebecca Robinson;dairy
101;07:05:00;Christian Carter;spices
102;07:05:00;Michael Miller;fruit
103;07:05:00;Dominique Odom;spices
104;07:05:00;Jennifer Payne;checkout and leave
105;07:05:00;Mark Burke;dairy
106;07:05:00;Tina Mcintosh;dairy
107;07:05:00;Michelle Petersen DDS;dairy
108;07:05:00;Dr. Richard Moses Jr.;fruit
109;07:05:00;David Alvarez;dairy
110;07:05:00;Jose Wallace;drinks
111;07:05:00;Nathaniel Smith;dairy
112;07:06:00;Jack Stone;drinks
113;07:06:00;Jacqueline Mitchell;drinks
114;07:06:00;John Hood;spices
115;07:06:00;Melissa Perkins;drinks
116;07:06:00;Connor Turner;fruit
117;07:06:00;Melanie Michael;dairy
118;07:06:00;Sandra Lowery;dairy
119;07:06:00;Holly Clark;dairy
120;07:06:00;Jennifer Adkins;drinks
121;07:06:00;Joshua Jackson;checkout and leave
122;07:06:00;Thomas Smith;checkout and leave
123;07:06:00;Rebecca Robinson;fruit
124;07:06:00;Christian Carter;dairy
125;07:06:00;Michael Miller;fruit
126;07:06:00;Dominique Odom;drinks
127;07:06:00;Mark Burke;drinks
128;07:06:00;Tina Mcintosh;fruit
129;07:06:00;Michelle Petersen DDS;checkout and leave
130;07:06:00;Dr. Richard Moses Jr.;fruit
131;07:06:00;David Alvarez;fruit
132;07:06:00;Jose Wallace;dairy
133;07:06:00;Nathaniel Smith;checkout and leave
134;07:06:00;Mrs. Sarah Howe;entrance
135;07:06:00;Edward Doyle;entrance
136;07:06:00;Morgan Burke;entrance
137;07:06:00;Jasmine Peters;entrance
138;07:06:00;Joel Smith;entrance
139;07:06:00;Sean Clark;entrance
140;07:06:00;Jay Quinn;entrance
141;07:06:00;Gerald Logan;entrance
142;07:07:00;Jack Stone;checkout and leave
143;07:07:00;Jacqueline Mitchell;drinks
144;07:07:00;John Hood;fruit
145;07:07:00;Melissa Perkins;drinks
146;07:07:00;Connor Turner;drinks
147;07:07:00;Melanie Michael;checkout and leave
148;07:07:00;Sandra Lowery;dairy
149;07:07:00;Holly Clark;spices
150;07:07:00;Jennifer Adkins;fruit
151;07:07:00;Thomas Smith;checkout and leave
152;07:07:00;Rebecca Robinson;fruit
153;07:07:00;Christian Carter;drinks
154;07:07:00;Michael Miller;drinks
155;07:07:00;Dominique Odom;checkout and leave
156;07:07:00;Mark Burke;fruit
157;07:07:00;Tina Mcintosh;fruit
158;07:07:00;Dr. Richard Moses Jr.;checkout and leave
159;07:07:00;David Alvarez;drinks
160;07:07:00;Jose Wallace;drinks
161;07:07:00;Mrs. Sarah Howe;fruit
162;07:07:00;Edward Doyle;spices
163;07:07:00;Morgan Burke;dairy
164;07:07:00;Jasmine Peters;drinks
165;07:07:00;Joel Smith;dairy
166;07:07:00;Sean Clark;spices
167;07:07:00;Jay Quinn;spices
168;07:07:00;Gerald Logan;dairy
169;07:07:00;Tami Moran;entrance
170;07:07:00;Timothy Cooper;entrance
171;07:07:00;Latasha Ruiz;entrance
172;07:07:00;Christopher Shannon;entrance
173;07:08:00;Jacqueline Mitchell;checkout and leave
174;07:08:00;John Hood;spices
175;07:08:00;Melissa Perkins;dairy
176;07:08:00;Connor Turner;fruit
177;07:08:00;Sandra Lowery;checkout and leave
178;07:08:00;Holly Clark;drinks
179;07:08:00;Jennifer Adkins;fruit
180;07:08:00;Rebecca Robinson;dairy
181;07:08:00;Christian Carter;dairy
182;07:08:00;Michael Miller;drinks
183;07:08:00;Mark Burke;dairy
184;07:08:00;Tina Mcintosh;fruit
185;07:08:00;David Alvarez;dairy
186;07:08:00;Jose Wallace;dairy
187;07:08:00;Mrs. Sarah Howe;dairy
188;07:08:00;Edward Doyle;dairy
189;07:08:00;Morgan Burke;checkout and leave
190;07:08:00;Jasmine Peters;dairy
191;07:08:00;Joel Smith;dairy
192;07:08:00;Sean Clark;checkout and leave
193;07:08:00;Jay Quinn;fruit
194;07:08:00;Gerald Logan;spices
195;07:08:00;Tami Moran;spices
196;07:08:00;Timothy Cooper;spices
197;07:08:00;Latasha Ruiz;spices
198;07:08:00;Christopher Shannon;spices
199;07:08:00;James Robinson;entrance
200;07:08:00;Felicia Decker;entrance
201;07:08:00;William Medina;entrance
202;07:08:00;Darren Stewart;entrance
203;07:09:00;John Hood;dairy
204;07:09:00;Melissa Perkins;dairy
205;07:09:00;Connor Turner;fruit
206;07:09:00;Holly Clark;fruit
207;07:09:00;Jennifer Adkins;drinks
208;07:09:00;Rebecca Robinson;drinks
209;07:09:00;Christian Carter;dairy
210;07:09:00;Michael Miller;fruit
211;07:09:00;Mark Burke;drinks
212;07:09:00;Tina Mcintosh;drinks
213;07:09:00;David Alvarez;dairy
214;07:09:00;Jose Wallace;dairy
215;07:09:00;Mrs. Sarah Howe;dairy
216;07:09:00;Edward Doyle;dairy
217;07:09:00;Jasmine Peters;spices
218;07:09:00;Joel Smith;drinks
219;07:09:00;Jay Quinn;fruit
220;07:09:00;Gerald Logan;drinks
221;07:09:00;Tami Moran;drinks
222;07:09:00;Timothy Cooper;drinks
223;07:09:00;Latasha Ruiz;fruit
224;07:09:00;Christopher Shannon;fruit
225;07:09:00;James Robinson;drinks
226;07:09:00;Felicia Decker;spices
227;07:09:00;William Medina;fruit
228;07:09:00;Darren Stewart;fruit
229;07:09:00;Jonathan Jones;entrance
230;07:09:00;Jonathan Rogers;entrance
231;07:10:00;John Hood;checkout and leave
232;07:10:00;Melissa Perkins;checkout and leave
233;07:10:00;Connor Turner;checkout and leave
234;07:10:00;Holly Clark;dairy
235;07:10:00;Jennifer Adkins;dairy
236;07:10:00;Rebecca Robinson;dairy
237;07:10:00;Christian Carter;dairy
238;07:10:00;Michael Miller;fruit
239;07:10:00;Mark Burke;drinks
240;07:10:00;Tina Mcintosh;dairy
241;07:10:00;David Alvarez;dairy
242;07:10:00;Jose Wallace;fruit
243;07:10:00;Mrs. Sarah Howe;dairy
244;07:10:00;Edward Doyle;dairy
245;07:10:00;Jasmine Peters;drinks
246;07:10:00;Joel Smith;dairy
247;07:10:00;Jay Quinn;drinks
248;07:10:00;Gerald Logan;drinks
249;07:10:00;Tami Moran;fruit
250;07:10:00;Timothy Cooper;dairy
251;07:10:00;Latasha Ruiz;spices
252;07:10:00;Christopher Shannon;fruit
253;07:10:00;James Robinson;spices
254;07:10:00;Felicia Decker;dairy
255;07:10:00;William Medina;drinks
256;07:10:00;Darren Stewart;dairy
257;07:10:00;Jonathan Jones;spices
258;07:10:00;Jonathan Rogers;dairy
259;07:10:00;Eric Wright;entrance
260;07:10:00;Diana Williams;entrance
261;07:10:00;James Hamilton;entrance
262;07:11:00;Melissa Perkins;checkout and leave
263;07:11:00;Holly Clark;fruit
264;07:11:00;Jennifer Adkins;drinks
265;07:11:00;Rebecca Robinson;dairy
266;07:11:00;Christian Carter;spices
267;07:11:00;Michael Miller;fruit
268;07:11:00;Mark Burke;drinks
269;07:11:00;Tina Mcintosh;fruit
270;07:11:00;David Alvarez;fruit
271;07:11:00;Jose Wallace;fruit
272;07:11:00;Mrs. Sarah Howe;fruit
273;07:11:00;Edward Doyle;spices
274;07:11:00;Jasmine Peters;drinks
275;07:11:00;Joel Smith;dairy
276;07:11:00;Jay Quinn;fruit
277;07:11:00;Gerald Logan;fruit
278;07:11:00;Tami Moran;checkout and leave
279;07:11:00;Timothy Cooper;drinks
280;07:11:00;Latasha Ruiz;fruit
281;07:11:00;Christopher Shannon;fruit
282;07:11:00;James Robinson;dairy
283;07:11:00;Felicia Decker;fruit
284;07:11:00;William Medina;drinks
285;07:11:00;Darren Stewart;dairy
286;07:11:00;Jonathan Jones;dairy
287;07:11:00;Jonathan Rogers;checkout and leave
288;07:11:00;Eric Wright;drinks
289;07:11:00;Diana Williams;drinks
290;07:11:00;James Hamilton;drinks
291;07:11:00;Catherine Lee;entrance
292;07:11:00;Robin Bean;entrance
293;07:11:00;Elizabeth Sullivan;entrance
294;07:11:00;Michael Wood;entrance
295;07:11:00;Carol Rivera;entrance
296;07:11:00;Andrew Blake;entrance
297;07:11:00;Mark Poole;entrance
298;07:12:00;Holly Clark;spices
299;07:12:00;Jennifer Adkins;drinks
300;07:12:00;Rebecca Robinson;spices
301;07:12:00;Christian Carter;fruit
302;07:12:00;Michael Miller;drinks
